,Variable,Value,model
42,Capacité totale de stockage,512 Go,Apple iPhone 17 Pro Max 512 Go Bleu
43,Mémoire vive (RAM),12 Go,Apple iPhone 17 Pro Max 512 Go Bleu
44,Lecteur de carte mémoire,,Apple iPhone 17 Pro Max 512 Go Bleu
45,Déverrouillé,,Apple iPhone 17 Pro Max 512 Go Bleu
46,Double SIM,,Apple iPhone 17 Pro Max 512 Go Bleu
47,Contenu tiroir carte SIM,Un emplacement carte SIM et un emplacement pour une carte SIM numérique (eSim),Apple iPhone 17 Pro Max 512 Go Bleu
48,Qualité de la caméra,Excellent,Apple iPhone 17 Pro Max 512 Go Bleu
49,Nombre d'objectifs de la caméra arrière,3,Apple iPhone 17 Pro Max 512 Go Bleu
50,Caméra intégrée,,Apple iPhone 17 Pro Max 512 Go Bleu
51,Nombre total de mégapixels,48 Mpx,Apple iPhone 17 Pro Max 512 Go Bleu
52,Mise au point automatique,,Apple iPhone 17 Pro Max 512 Go Bleu
53,Type de mise au point automatique,Détection de phase autofocus,Apple iPhone 17 Pro Max 512 Go Bleu
54,Fonction vidéo,,Apple iPhone 17 Pro Max 512 Go Bleu
55,Qualité d'enregistrement vidéo,4K @ 120 fps,Apple iPhone 17 Pro Max 512 Go Bleu
56,Flash arrière,,Apple iPhone 17 Pro Max 512 Go Bleu
57,Type d'objectif,Standard,Apple iPhone 17 Pro Max 512 Go Bleu
58,Type de stabilisation d'image,Stabilisation optique de l'image,Apple iPhone 17 Pro Max 512 Go Bleu
59,Diaphragme,"1,78",Apple iPhone 17 Pro Max 512 Go Bleu
60,Type de flash,Dual LED avec True Tone,Apple iPhone 17 Pro Max 512 Go Bleu
61,Caméra compatible avec la technologie HDR,,Apple iPhone 17 Pro Max 512 Go Bleu
62,Type de capteur d'image,"1/1.28""",Apple iPhone 17 Pro Max 512 Go Bleu
63,Deuxième appareil Photo arrière,,Apple iPhone 17 Pro Max 512 Go Bleu
64,Type objectif appareil photo arrière 2,Grand angle,Apple iPhone 17 Pro Max 512 Go Bleu
65,Nombre de mégapixels de la deuxième caméra arrière,48 Mpx,Apple iPhone 17 Pro Max 512 Go Bleu
66,Diaphragme fixe de la deuxième caméra arrière,"2,2",Apple iPhone 17 Pro Max 512 Go Bleu
67,Type de stabilisation d'image de la deuxième caméra arrière,Pas de stabilisation d'image,Apple iPhone 17 Pro Max 512 Go Bleu
68,Mise au point automatique deuxième caméra au dos,,Apple iPhone 17 Pro Max 512 Go Bleu
69,Type autofocus tweede camera achterkant,Détection de phase autofocus,Apple iPhone 17 Pro Max 512 Go Bleu
70,Fonction zoom optique deuxième caméra au dos,,Apple iPhone 17 Pro Max 512 Go Bleu
71,Troisième caméra arrière,,Apple iPhone 17 Pro Max 512 Go Bleu
72,Type d'objectif caméra arrière 3,Téléobjectif,Apple iPhone 17 Pro Max 512 Go Bleu
73,Nombre de mégapixels troisième caméra arrière,48 Mpx,Apple iPhone 17 Pro Max 512 Go Bleu
74,Ouverture fixe du diaphragme de la troisième caméra arrière,"2,8",Apple iPhone 17 Pro Max 512 Go Bleu
75,Mise au point automatique troisième caméra au dos,,Apple iPhone 17 Pro Max 512 Go Bleu
76,Type autofocus derde camera achterkant,Détection de phase autofocus,Apple iPhone 17 Pro Max 512 Go Bleu
77,Type de stabilisation optique troisième caméra arrière,Stabilisation d'image optique,Apple iPhone 17 Pro Max 512 Go Bleu
78,Fonction zoom optique troisième caméra au dos,,Apple iPhone 17 Pro Max 512 Go Bleu
79,Zoom optique sur la troisième caméra arrière,4,Apple iPhone 17 Pro Max 512 Go Bleu
80,Quatrième caméra au dos,,Apple iPhone 17 Pro Max 512 Go Bleu
81,Cinquième appareil photo à l'arrière,,Apple iPhone 17 Pro Max 512 Go Bleu
82,Caméra avant,,Apple iPhone 17 Pro Max 512 Go Bleu
83,Type de caméra avant,Dans l'écran,Apple iPhone 17 Pro Max 512 Go Bleu
84,Nombre de mégapixels appareil photo avant,18 Mpx,Apple iPhone 17 Pro Max 512 Go Bleu
85,Diaphragme fixe de la caméra avant,"1,9",Apple iPhone 17 Pro Max 512 Go Bleu
86,Type de stabilisation d'image caméra avant,Stabilisation optique de l'image,Apple iPhone 17 Pro Max 512 Go Bleu
87,Flash avant,,Apple iPhone 17 Pro Max 512 Go Bleu
88,Deuxième caméra avant,,Apple iPhone 17 Pro Max 512 Go Bleu
89,Diagonale de l'écran,"6,9 p",Apple iPhone 17 Pro Max 512 Go Bleu
90,Screen-to-body-ratio,"94,25 %",Apple iPhone 17 Pro Max 512 Go Bleu
91,Qualité écran,Excellent,Apple iPhone 17 Pro Max 512 Go Bleu
92,Pliable,,Apple iPhone 17 Pro Max 512 Go Bleu
93,Taux de rafraîchissement,120 Hz,Apple iPhone 17 Pro Max 512 Go Bleu
94,Densité de pixels,460 ppp,Apple iPhone 17 Pro Max 512 Go Bleu
95,LED de notification,,Apple iPhone 17 Pro Max 512 Go Bleu
96,Écran tactile,,Apple iPhone 17 Pro Max 512 Go Bleu
97,Netteté,Super Retina XDR,Apple iPhone 17 Pro Max 512 Go Bleu
98,Type d'écran,OLED,Apple iPhone 17 Pro Max 512 Go Bleu
99,Antigriffes,,Apple iPhone 17 Pro Max 512 Go Bleu
100,Gorilla Glass,,Apple iPhone 17 Pro Max 512 Go Bleu
101,Coup de pouce pour votre HDR,,Apple iPhone 17 Pro Max 512 Go Bleu
102,Type HDR,"Dolby Vision, HDR10",Apple iPhone 17 Pro Max 512 Go Bleu
103,Capacité batterie/pile,5088 mAh,Apple iPhone 17 Pro Max 512 Go Bleu
104,Fonction charge rapide,,Apple iPhone 17 Pro Max 512 Go Bleu
105,Type de charge rapide,Power Delivery 3.0,Apple iPhone 17 Pro Max 512 Go Bleu
106,Batterie chargée en 30 minutes,Entre 51 % et 60 %,Apple iPhone 17 Pro Max 512 Go Bleu
107,Vitesse de chargement,Moyen,Apple iPhone 17 Pro Max 512 Go Bleu
108,Puissance filaire charge rapide,40 W,Apple iPhone 17 Pro Max 512 Go Bleu
109,Recharge sans fil,,Apple iPhone 17 Pro Max 512 Go Bleu
110,Puissance charge rapide sans fil,25 W,Apple iPhone 17 Pro Max 512 Go Bleu
111,Pour charger d'autres appareils sans fil,,Apple iPhone 17 Pro Max 512 Go Bleu
112,Accu/batterie interchangeable,,Apple iPhone 17 Pro Max 512 Go Bleu
113,Options de connexion internet,4G et 5G,Apple iPhone 17 Pro Max 512 Go Bleu
114,Wi-Fi intégré,,Apple iPhone 17 Pro Max 512 Go Bleu
115,Standard Wi-Fi,"Wi-Fi B (Wi-Fi 2), Wi-Fi G (Wi-Fi 3), Wireless A (Wifi 2), Wireless AC (Wi-Fi 5), Wireless AX (Wi-Fi 6), Wireless AXE (Wifi 6E), Wireless B (Wifi 1), Wireless BE (Wifi 7), Wireless N (Wi-Fi 4)",Apple iPhone 17 Pro Max 512 Go Bleu
116,Bluetooth,,Apple iPhone 17 Pro Max 512 Go Bleu
117,Version Bluetooth,6.0,Apple iPhone 17 Pro Max 512 Go Bleu
118,NFC,,Apple iPhone 17 Pro Max 512 Go Bleu
119,Connexion casque audio,,Apple iPhone 17 Pro Max 512 Go Bleu
120,Connexion USB,,Apple iPhone 17 Pro Max 512 Go Bleu
121,Type de port USB,USB-C,Apple iPhone 17 Pro Max 512 Go Bleu
122,Connexion Lightning,,Apple iPhone 17 Pro Max 512 Go Bleu
123,Compatible avec Samsung DeX,,Apple iPhone 17 Pro Max 512 Go Bleu
124,Bouton d'accueil,,Apple iPhone 17 Pro Max 512 Go Bleu
125,Capteur d'empreintes digitales/identité,,Apple iPhone 17 Pro Max 512 Go Bleu
126,Reconnaissance faciale,,Apple iPhone 17 Pro Max 512 Go Bleu
127,Accéléromètre,,Apple iPhone 17 Pro Max 512 Go Bleu
128,Capteur de lumière,,Apple iPhone 17 Pro Max 512 Go Bleu
129,Boussole,,Apple iPhone 17 Pro Max 512 Go Bleu
130,Podomètre,,Apple iPhone 17 Pro Max 512 Go Bleu
131,Capteur GPS,,Apple iPhone 17 Pro Max 512 Go Bleu
0,price,"€ 249,-",Samsung Galaxy A26 128 Go Noir 5G
1,Format téléphone portable,Grand,Samsung Galaxy A26 128 Go Noir 5G
2,Qualité de la caméra,Bon,Samsung Galaxy A26 128 Go Noir 5G
3,Catégorie de vitesse,Bon,Samsung Galaxy A26 128 Go Noir 5G
4,Qualité écran,Très bien,Samsung Galaxy A26 128 Go Noir 5G
5,Capacité totale de stockage,128 Go,Samsung Galaxy A26 128 Go Noir 5G
6,Vitesse de chargement,Rapide,Samsung Galaxy A26 128 Go Noir 5G
7,Année d'introduction,2025,Samsung Galaxy A26 128 Go Noir 5G
8,Diagonale de l'écran,"6,7 p",Samsung Galaxy A26 128 Go Noir 5G
9,Produit,960931,Samsung Galaxy A26 128 Go Noir 5G
10,Code du fabricant,SM-A266BZKBEUB,Samsung Galaxy A26 128 Go Noir 5G
11,Marque,Samsung,Samsung Galaxy A26 128 Go Noir 5G
12,Garantie,2 ans,Samsung Galaxy A26 128 Go Noir 5G
13,Traitement du défaut,Via Coolblue,Samsung Galaxy A26 128 Go Noir 5G
14,Type de GSM,Smartphone,Samsung Galaxy A26 128 Go Noir 5G
15,Utilisation recommandée,"Internet, réseaux sociaux et jeux simples, Regarder des films et des séries",Samsung Galaxy A26 128 Go Noir 5G
16,Bundle comprenant,Pas d'accessoires,Samsung Galaxy A26 128 Go Noir 5G
17,Valeur et catégorie SAT,"0,4 W/kg (B)",Samsung Galaxy A26 128 Go Noir 5G
18,Année d'introduction,2025,Samsung Galaxy A26 128 Go Noir 5G
19,Mois de lancement,Mars,Samsung Galaxy A26 128 Go Noir 5G
20,Système d'exploitation,Android,Samsung Galaxy A26 128 Go Noir 5G
21,Android One,,Samsung Galaxy A26 128 Go Noir 5G
22,Version Android à l'introduction,Android 15,Samsung Galaxy A26 128 Go Noir 5G
23,Mise à jour vers version Android possible,Mise à jour pas encore possible,Samsung Galaxy A26 128 Go Noir 5G
24,La dernière version Android,,Samsung Galaxy A26 128 Go Noir 5G
25,Le nombre prévu de mises à jour Android,6,Samsung Galaxy A26 128 Go Noir 5G
26,Évaluation sur le nombre de mises à jour Android restantes,Excellent,Samsung Galaxy A26 128 Go Noir 5G
27,Fréquence prévue des mises à jour de sécurité,Tous les mois,Samsung Galaxy A26 128 Go Noir 5G
28,Date prévue de la dernière mise à jour de sécurité,Février 2031,Samsung Galaxy A26 128 Go Noir 5G
29,Évaluation sur les mises à jour de sécurité restantes,Excellent,Samsung Galaxy A26 128 Go Noir 5G
30,Évaluation politique de mise à jour,Excellent,Samsung Galaxy A26 128 Go Noir 5G
31,Format téléphone portable,Grand,Samsung Galaxy A26 128 Go Noir 5G
32,Hauteur,"16,4 cm",Samsung Galaxy A26 128 Go Noir 5G
33,Largeur,"7,75 cm",Samsung Galaxy A26 128 Go Noir 5G
34,Profondeur,"0,77 cm",Samsung Galaxy A26 128 Go Noir 5G
35,Poids,200 g,Samsung Galaxy A26 128 Go Noir 5G
36,Couleur,Noir,Samsung Galaxy A26 128 Go Noir 5G
37,Certificat IP,IP67,Samsung Galaxy A26 128 Go Noir 5G
38,Antichoc,,Samsung Galaxy A26 128 Go Noir 5G
39,Reproduction sonore,Stéréo,Samsung Galaxy A26 128 Go Noir 5G
40,Aimant MagSafe,,Samsung Galaxy A26 128 Go Noir 5G
41,Catégorie de vitesse,Bon,Samsung Galaxy A26 128 Go Noir 5G
42,Processeur,Samsung Exynos 1380,Samsung Galaxy A26 128 Go Noir 5G
43,Capacité totale de stockage,128 Go,Samsung Galaxy A26 128 Go Noir 5G
44,Mémoire vive (RAM),6 Go,Samsung Galaxy A26 128 Go Noir 5G
45,Lecteur de carte mémoire,,Samsung Galaxy A26 128 Go Noir 5G
46,Type de carte mémoire,Micro SD,Samsung Galaxy A26 128 Go Noir 5G
47,Capacité de stockage extensible jusqu'à,2 To,Samsung Galaxy A26 128 Go Noir 5G
48,Déverrouillé,,Samsung Galaxy A26 128 Go Noir 5G
49,Double SIM,,Samsung Galaxy A26 128 Go Noir 5G
50,Contenu tiroir carte SIM,1 emplacement carte SIM et un emplacement pour carte SIM ou carte mémoire,Samsung Galaxy A26 128 Go Noir 5G
51,Qualité de la caméra,Bon,Samsung Galaxy A26 128 Go Noir 5G
52,Nombre d'objectifs de la caméra arrière,3,Samsung Galaxy A26 128 Go Noir 5G
53,Caméra intégrée,,Samsung Galaxy A26 128 Go Noir 5G
54,Nombre total de mégapixels,50 Mpx,Samsung Galaxy A26 128 Go Noir 5G
55,Mise au point automatique,,Samsung Galaxy A26 128 Go Noir 5G
56,Type de mise au point automatique,"Détection de contraste, Détection de phase autofocus",Samsung Galaxy A26 128 Go Noir 5G
57,Fonction vidéo,,Samsung Galaxy A26 128 Go Noir 5G
58,Qualité d'enregistrement vidéo,4K @ 30 fps,Samsung Galaxy A26 128 Go Noir 5G
59,Flash arrière,,Samsung Galaxy A26 128 Go Noir 5G
60,Type d'objectif,Standard,Samsung Galaxy A26 128 Go Noir 5G
61,Type de stabilisation d'image,Stabilisation optique de l'image,Samsung Galaxy A26 128 Go Noir 5G
62,Diaphragme,"2,2",Samsung Galaxy A26 128 Go Noir 5G
63,Type de flash,Single LED,Samsung Galaxy A26 128 Go Noir 5G
64,Caméra compatible avec la technologie HDR,,Samsung Galaxy A26 128 Go Noir 5G
65,Type de capteur d'image,"1/1.56""",Samsung Galaxy A26 128 Go Noir 5G
66,Deuxième appareil Photo arrière,,Samsung Galaxy A26 128 Go Noir 5G
67,Type objectif appareil photo arrière 2,Grand angle,Samsung Galaxy A26 128 Go Noir 5G
68,Nombre de mégapixels de la deuxième caméra arrière,8 Mpx,Samsung Galaxy A26 128 Go Noir 5G
69,Diaphragme fixe de la deuxième caméra arrière,"2,2",Samsung Galaxy A26 128 Go Noir 5G
70,Type de stabilisation d'image de la deuxième caméra arrière,Pas de stabilisation d'image,Samsung Galaxy A26 128 Go Noir 5G
71,Mise au point automatique deuxième caméra au dos,,Samsung Galaxy A26 128 Go Noir 5G
72,Fonction zoom optique deuxième caméra au dos,,Samsung Galaxy A26 128 Go Noir 5G
73,Troisième caméra arrière,,Samsung Galaxy A26 128 Go Noir 5G
74,Type d'objectif caméra arrière 3,Objectif macro,Samsung Galaxy A26 128 Go Noir 5G
75,Quatrième caméra au dos,,Samsung Galaxy A26 128 Go Noir 5G
76,Cinquième appareil photo à l'arrière,,Samsung Galaxy A26 128 Go Noir 5G
77,Caméra avant,,Samsung Galaxy A26 128 Go Noir 5G
78,Type de caméra avant,Dans l'écran,Samsung Galaxy A26 128 Go Noir 5G
79,Nombre de mégapixels appareil photo avant,13 Mpx,Samsung Galaxy A26 128 Go Noir 5G
80,Diaphragme fixe de la caméra avant,"2,2",Samsung Galaxy A26 128 Go Noir 5G
81,Type de stabilisation d'image caméra avant,Pas de stabilisation d'image,Samsung Galaxy A26 128 Go Noir 5G
82,Flash avant,,Samsung Galaxy A26 128 Go Noir 5G
83,Deuxième caméra avant,,Samsung Galaxy A26 128 Go Noir 5G
84,Diagonale de l'écran,"6,7 p",Samsung Galaxy A26 128 Go Noir 5G
85,Screen-to-body-ratio,"86,7 %",Samsung Galaxy A26 128 Go Noir 5G
86,Qualité écran,Très bien,Samsung Galaxy A26 128 Go Noir 5G
87,Pliable,,Samsung Galaxy A26 128 Go Noir 5G
88,Taux de rafraîchissement,120 Hz,Samsung Galaxy A26 128 Go Noir 5G
89,Densité de pixels,385 ppp,Samsung Galaxy A26 128 Go Noir 5G
90,LED de notification,,Samsung Galaxy A26 128 Go Noir 5G
91,Écran tactile,,Samsung Galaxy A26 128 Go Noir 5G
92,Netteté,Full HD (1080p),Samsung Galaxy A26 128 Go Noir 5G
93,Type d'écran,Dynamic AMOLED,Samsung Galaxy A26 128 Go Noir 5G
94,Antigriffes,,Samsung Galaxy A26 128 Go Noir 5G
95,Gorilla Glass,,Samsung Galaxy A26 128 Go Noir 5G
96,Gorilla Glass Type,Gorilla Glass 7,Samsung Galaxy A26 128 Go Noir 5G
97,Coup de pouce pour votre HDR,,Samsung Galaxy A26 128 Go Noir 5G
98,Type HDR,HDR10,Samsung Galaxy A26 128 Go Noir 5G
99,Capacité batterie/pile,5 Ah,Samsung Galaxy A26 128 Go Noir 5G
100,Fonction charge rapide,,Samsung Galaxy A26 128 Go Noir 5G
101,Type de charge rapide,Samsung Adaptive Fast Charge,Samsung Galaxy A26 128 Go Noir 5G
102,Batterie chargée en 30 minutes,Entre 61 % et 70 %,Samsung Galaxy A26 128 Go Noir 5G
103,Vitesse de chargement,Rapide,Samsung Galaxy A26 128 Go Noir 5G
104,Puissance filaire charge rapide,45 W,Samsung Galaxy A26 128 Go Noir 5G
105,Recharge sans fil,,Samsung Galaxy A26 128 Go Noir 5G
106,Pour charger d'autres appareils sans fil,,Samsung Galaxy A26 128 Go Noir 5G
107,Accu/batterie interchangeable,,Samsung Galaxy A26 128 Go Noir 5G
108,Options de connexion internet,4G et 5G,Samsung Galaxy A26 128 Go Noir 5G
109,Wi-Fi intégré,,Samsung Galaxy A26 128 Go Noir 5G
110,Standard Wi-Fi,"Wi-Fi G (Wi-Fi 3), Wireless A (Wifi 2), Wireless AC (Wi-Fi 5), Wireless AX (Wi-Fi 6), Wireless AXE (Wifi 6E), Wireless B (Wifi 1), Wireless N (Wi-Fi 4)",Samsung Galaxy A26 128 Go Noir 5G
111,Bluetooth,,Samsung Galaxy A26 128 Go Noir 5G
112,Version Bluetooth,5.4,Samsung Galaxy A26 128 Go Noir 5G
113,NFC,,Samsung Galaxy A26 128 Go Noir 5G
114,Connexion casque audio,,Samsung Galaxy A26 128 Go Noir 5G
115,Connexion USB,,Samsung Galaxy A26 128 Go Noir 5G
116,Type de port USB,USB-C,Samsung Galaxy A26 128 Go Noir 5G
117,Connexion Lightning,,Samsung Galaxy A26 128 Go Noir 5G
118,Compatible avec Samsung DeX,,Samsung Galaxy A26 128 Go Noir 5G
119,Bouton d'accueil,,Samsung Galaxy A26 128 Go Noir 5G
120,Capteur d'empreintes digitales/identité,,Samsung Galaxy A26 128 Go Noir 5G
121,Installation du capteur d'empreintes digitales,Côté,Samsung Galaxy A26 128 Go Noir 5G
122,Reconnaissance faciale,,Samsung Galaxy A26 128 Go Noir 5G
123,Accéléromètre,,Samsung Galaxy A26 128 Go Noir 5G
124,Capteur de lumière,,Samsung Galaxy A26 128 Go Noir 5G
125,Boussole,,Samsung Galaxy A26 128 Go Noir 5G
126,Podomètre,,Samsung Galaxy A26 128 Go Noir 5G
127,Capteur GPS,,Samsung Galaxy A26 128 Go Noir 5G
0,price,"€ 931,-",Samsung Galaxy S25 512 Go Bleu Foncé 5G
1,Format téléphone portable,Moyen,Samsung Galaxy S25 512 Go Bleu Foncé 5G
2,Qualité de la caméra,Excellent,Samsung Galaxy S25 512 Go Bleu Foncé 5G
3,Catégorie de vitesse,Excellent,Samsung Galaxy S25 512 Go Bleu Foncé 5G
4,Qualité écran,Excellent,Samsung Galaxy S25 512 Go Bleu Foncé 5G
5,Capacité totale de stockage,512 Go,Samsung Galaxy S25 512 Go Bleu Foncé 5G
6,Vitesse de chargement,Moyen,Samsung Galaxy S25 512 Go Bleu Foncé 5G
7,Année d'introduction,2025,Samsung Galaxy S25 512 Go Bleu Foncé 5G
8,Diagonale de l'écran,"6,2 p",Samsung Galaxy S25 512 Go Bleu Foncé 5G
9,Produit,958953,Samsung Galaxy S25 512 Go Bleu Foncé 5G
10,Code du fabricant,SM-S931BDBHEUB,Samsung Galaxy S25 512 Go Bleu Foncé 5G
11,Marque,Samsung,Samsung Galaxy S25 512 Go Bleu Foncé 5G
12,Garantie,2 ans,Samsung Galaxy S25 512 Go Bleu Foncé 5G
13,Traitement du défaut,Via Coolblue,Samsung Galaxy S25 512 Go Bleu Foncé 5G
14,Type de GSM,Smartphone,Samsung Galaxy S25 512 Go Bleu Foncé 5G
15,Utilisation recommandée,"Gaming, Internet, réseaux sociaux et jeux simples, Prendre des photos et faire des vidéos, Regarder des films et des séries",Samsung Galaxy S25 512 Go Bleu Foncé 5G
16,Bundle comprenant,Pas d'accessoires,Samsung Galaxy S25 512 Go Bleu Foncé 5G
17,Valeur et catégorie SAT,"1,3 W/kg (D)",Samsung Galaxy S25 512 Go Bleu Foncé 5G
18,Année d'introduction,2025,Samsung Galaxy S25 512 Go Bleu Foncé 5G
19,Mois de lancement,Janvier,Samsung Galaxy S25 512 Go Bleu Foncé 5G
20,Système d'exploitation,Android,Samsung Galaxy S25 512 Go Bleu Foncé 5G
21,Android One,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
22,Version Android à l'introduction,Android 15,Samsung Galaxy S25 512 Go Bleu Foncé 5G
23,Mise à jour vers version Android possible,Mise à jour pas encore possible,Samsung Galaxy S25 512 Go Bleu Foncé 5G
24,La dernière version Android,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
25,Le nombre prévu de mises à jour Android,7,Samsung Galaxy S25 512 Go Bleu Foncé 5G
26,Évaluation sur le nombre de mises à jour Android restantes,Excellent,Samsung Galaxy S25 512 Go Bleu Foncé 5G
27,Fréquence prévue des mises à jour de sécurité,Tous les mois,Samsung Galaxy S25 512 Go Bleu Foncé 5G
28,Date prévue de la dernière mise à jour de sécurité,Janvier 2032,Samsung Galaxy S25 512 Go Bleu Foncé 5G
29,Évaluation sur les mises à jour de sécurité restantes,Excellent,Samsung Galaxy S25 512 Go Bleu Foncé 5G
30,Évaluation politique de mise à jour,Excellent,Samsung Galaxy S25 512 Go Bleu Foncé 5G
31,Format téléphone portable,Moyen,Samsung Galaxy S25 512 Go Bleu Foncé 5G
32,Hauteur,"14,69 cm",Samsung Galaxy S25 512 Go Bleu Foncé 5G
33,Largeur,"7,05 cm",Samsung Galaxy S25 512 Go Bleu Foncé 5G
34,Profondeur,"0,72 cm",Samsung Galaxy S25 512 Go Bleu Foncé 5G
35,Poids,162 g,Samsung Galaxy S25 512 Go Bleu Foncé 5G
36,Couleur,Bleu,Samsung Galaxy S25 512 Go Bleu Foncé 5G
37,Certificat IP,IP68,Samsung Galaxy S25 512 Go Bleu Foncé 5G
38,Antichoc,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
39,Reproduction sonore,Stéréo,Samsung Galaxy S25 512 Go Bleu Foncé 5G
40,Catégorie de vitesse,Excellent,Samsung Galaxy S25 512 Go Bleu Foncé 5G
41,Processeur,Qualcomm Snapdragon 8 Elite,Samsung Galaxy S25 512 Go Bleu Foncé 5G
42,Capacité totale de stockage,512 Go,Samsung Galaxy S25 512 Go Bleu Foncé 5G
43,Mémoire vive (RAM),12 Go,Samsung Galaxy S25 512 Go Bleu Foncé 5G
44,Lecteur de carte mémoire,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
45,Déverrouillé,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
46,Double SIM,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
47,Contenu tiroir carte SIM,2 emplacements pour carte SIM,Samsung Galaxy S25 512 Go Bleu Foncé 5G
48,Qualité de la caméra,Excellent,Samsung Galaxy S25 512 Go Bleu Foncé 5G
49,Nombre d'objectifs de la caméra arrière,3,Samsung Galaxy S25 512 Go Bleu Foncé 5G
50,Caméra intégrée,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
51,Nombre total de mégapixels,50 Mpx,Samsung Galaxy S25 512 Go Bleu Foncé 5G
52,Mise au point automatique,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
53,Type de mise au point automatique,Détection de phase autofocus,Samsung Galaxy S25 512 Go Bleu Foncé 5G
54,Fonction vidéo,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
55,Qualité d'enregistrement vidéo,8K @ 30 FPS,Samsung Galaxy S25 512 Go Bleu Foncé 5G
56,Flash arrière,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
57,Type d'objectif,Standard,Samsung Galaxy S25 512 Go Bleu Foncé 5G
58,Type de stabilisation d'image,Stabilisation optique de l'image,Samsung Galaxy S25 512 Go Bleu Foncé 5G
59,Diaphragme,"1,8",Samsung Galaxy S25 512 Go Bleu Foncé 5G
60,Type de flash,Single LED,Samsung Galaxy S25 512 Go Bleu Foncé 5G
61,Caméra compatible avec la technologie HDR,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
62,Type de capteur d'image,"1/1.56""",Samsung Galaxy S25 512 Go Bleu Foncé 5G
63,Deuxième appareil Photo arrière,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
64,Type objectif appareil photo arrière 2,Téléobjectif,Samsung Galaxy S25 512 Go Bleu Foncé 5G
65,Nombre de mégapixels de la deuxième caméra arrière,10 Mpx,Samsung Galaxy S25 512 Go Bleu Foncé 5G
66,Diaphragme fixe de la deuxième caméra arrière,"2,4",Samsung Galaxy S25 512 Go Bleu Foncé 5G
67,Type de stabilisation d'image de la deuxième caméra arrière,Stabilisation optique de l'image,Samsung Galaxy S25 512 Go Bleu Foncé 5G
68,Mise au point automatique deuxième caméra au dos,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
69,Type autofocus tweede camera achterkant,Détection de phase autofocus,Samsung Galaxy S25 512 Go Bleu Foncé 5G
70,Fonction zoom optique deuxième caméra au dos,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
71,Zoom optique sur la deuxième caméra arrière,3,Samsung Galaxy S25 512 Go Bleu Foncé 5G
72,Troisième caméra arrière,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
73,Type d'objectif caméra arrière 3,Grand angle,Samsung Galaxy S25 512 Go Bleu Foncé 5G
74,Nombre de mégapixels troisième caméra arrière,12 Mpx,Samsung Galaxy S25 512 Go Bleu Foncé 5G
75,Ouverture fixe du diaphragme de la troisième caméra arrière,"2,2",Samsung Galaxy S25 512 Go Bleu Foncé 5G
76,Mise au point automatique troisième caméra au dos,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
77,Type de stabilisation optique troisième caméra arrière,Pas de stabilisation d'image,Samsung Galaxy S25 512 Go Bleu Foncé 5G
78,Fonction zoom optique troisième caméra au dos,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
79,Quatrième caméra au dos,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
80,Cinquième appareil photo à l'arrière,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
81,Caméra avant,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
82,Type de caméra avant,Dans l'écran,Samsung Galaxy S25 512 Go Bleu Foncé 5G
83,Nombre de mégapixels appareil photo avant,12 Mpx,Samsung Galaxy S25 512 Go Bleu Foncé 5G
84,Diaphragme fixe de la caméra avant,"2,2",Samsung Galaxy S25 512 Go Bleu Foncé 5G
85,Type de stabilisation d'image caméra avant,Pas de stabilisation d'image,Samsung Galaxy S25 512 Go Bleu Foncé 5G
86,Flash avant,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
87,Deuxième caméra avant,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
88,Diagonale de l'écran,"6,2 p",Samsung Galaxy S25 512 Go Bleu Foncé 5G
89,Screen-to-body-ratio,"93,41 %",Samsung Galaxy S25 512 Go Bleu Foncé 5G
90,Qualité écran,Excellent,Samsung Galaxy S25 512 Go Bleu Foncé 5G
91,Pliable,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
92,Taux de rafraîchissement,120 Hz,Samsung Galaxy S25 512 Go Bleu Foncé 5G
93,Densité de pixels,418 ppp,Samsung Galaxy S25 512 Go Bleu Foncé 5G
94,LED de notification,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
95,Écran tactile,,Samsung Galaxy S25 512 Go Bleu Foncé 5G
96,Netteté,Full HD (1080p),Samsung Galaxy S25 512 Go Bleu Foncé 5G
